Complaint_ID,City,Area,Complaint_Type,Complaint_Count,Population,Weather,Timestamp,Previous_Complaints,Severity
MMR-12834,Navi Mumbai,Belapur,Roads,3,269014,Cloudy,2026-03-04 21:00:18,1,Low
MMR-2757,Mumbai,Andheri,Roads,49,833707,Rainy,2026-03-04 21:00:30,79,Medium
MMR-2944,Navi Mumbai,Panvel,Roads,39,436430,Cloudy,2026-03-04 21:06:20,91,High
MMR-13168,Mumbai,Powai,Water,9,312883,Sunny,2026-03-04 21:06:46,12,Low
MMR-19530,Mumbai,Vile Parle,Drainage,92,316596,Sunny,2026-03-04 21:08:04,58,Medium
MMR-18619,Mumbai,Chembur,Roads,50,365558,Rainy,2026-03-04 21:08:38,43,Medium
MMR-16551,Navi Mumbai,Turbhe,Water,41,167812,Cloudy,2026-03-04 21:18:09,51,Medium
MMR-1551,Mumbai,Churchgate,Water,3,112369,Rainy,2026-03-04 21:19:55,70,Medium
MMR-7091,Navi Mumbai,Ghansoli,Roads,11,206519,Cloudy,2026-03-04 21:28:25,197,Medium
MMR-12254,Mumbai,Parel,Roads,12,267842,Sunny,2026-03-04 21:30:37,13,High
MMR-18789,Mumbai,Dadar,Drainage,55,462033,Sunny,2026-03-04 21:31:46,36,High
MMR-16180,Mumbai,Sion,Roads,25,324224,Sunny,2026-03-04 21:32:45,14,Medium
MMR-20144,Mumbai,Juhu,Garbage,22,207470,Sunny,2026-03-04 21:33:06,17,Low
MMR-15146,Mumbai,Goregaon,Roads,57,494204,Sunny,2026-03-04 21:33:14,44,Medium
MMR-13481,Mumbai,Fort,Water,25,140589,Rainy,2026-03-04 21:39:45,37,Medium
MMR-5804,Mumbai,Mulund,Drainage,24,369996,Sunny,2026-03-04 21:41:38,37,Medium
MMR-6788,Mumbai,Thane,Drainage,50,659064,Cloudy,2026-03-04 21:47:05,33,Low
MMR-5026,Mumbai,Juhu,Garbage,29,212509,Rainy,2026-03-04 21:47:55,35,Low
MMR-15668,Mumbai,Juhu,Drainage,22,206839,Sunny,2026-03-04 21:48:28,13,Low
MMR-17352,Mumbai,Fort,Water,20,142297,Sunny,2026-03-04 21:48:38,72,Medium
MMR-19329,Mumbai,CST,Roads,10,119814,Sunny,2026-03-04 21:50:03,125,Medium
MMR-16309,Mumbai,Goregaon,Garbage,72,499531,Sunny,2026-03-04 21:52:08,104,High
MMR-9536,Mumbai,Sion,Water,2,365970,Sunny,2026-03-04 21:54:10,105,Low
