Complaint_ID,Area,Complaint_Type,Complaint_Count,Population,Weather,Timestamp,Previous_Complaints,Severity
MUM-3166,Andheri,Roads,82,852939,Cloudy,2026-03-04 20:21:51,105,Medium
MUM-8594,Vile Parle,Roads,10,331740,Sunny,2026-03-04 20:25:16,16,Low
MUM-10862,Mulund,Garbage,28,371336,Cloudy,2026-03-04 20:25:45,23,Low
MUM-8909,Worli,Water,25,235304,Rainy,2026-03-04 20:26:38,155,Low
MUM-3399,Dharavi,Roads,58,702531,Sunny,2026-03-04 20:27:41,82,Low
MUM-7708,Mulund,Roads,16,363423,Sunny,2026-03-04 20:29:37,51,Low
MUM-8814,Malad,Water,76,557561,Sunny,2026-03-04 20:34:59,74,High
MUM-8112,Andheri,Water,78,851183,Sunny,2026-03-04 20:39:51,13,Medium
MUM-9224,Hiranandani,Roads,46,162717,Sunny,2026-03-04 20:49:29,34,High
MUM-4818,Mulund,Water,5,364976,Sunny,2026-03-04 20:54:05,8,Medium
MUM-4072,Goregaon,Water,60,477558,Sunny,2026-03-04 20:59:16,41,Medium
MUM-9505,Matunga,Garbage,40,254640,Rainy,2026-03-04 21:04:03,37,Low
MUM-3808,Malad,Water,42,534578,Cloudy,2026-03-04 21:06:38,45,Medium
MUM-8134,Thane,Drainage,54,716738,Rainy,2026-03-04 21:08:26,39,High
MUM-1481,Bandra,Drainage,7,325654,Cloudy,2026-03-04 21:08:58,4,Low
MUM-1735,Churchgate,Drainage,10,119130,Sunny,2026-03-04 21:11:31,15,Low
MUM-10188,Bandra,Water,26,312438,Cloudy,2026-03-04 21:23:27,13,Low
MUM-6669,Dadar,Drainage,34,509498,Cloudy,2026-03-04 21:25:36,18,Medium
MUM-5008,Santacruz,Drainage,23,287706,Cloudy,2026-03-04 21:29:37,23,Medium
MUM-2453,Powai,Water,17,305858,Cloudy,2026-03-04 21:45:48,109,Low
MUM-5657,Santacruz,Garbage,29,298249,Sunny,2026-03-04 21:52:45,16,High
MUM-6241,Mulund,Garbage,68,373906,Cloudy,2026-03-04 21:58:50,59,Low
MUM-3388,Powai,Roads,16,312883,Sunny,2026-03-04 22:03:17,20,Medium
MUM-1453,Andheri,Roads,26,847655,Rainy,2026-03-04 22:03:24,20,High
MUM-7021,Andheri,Garbage,66,869970,Sunny,2026-03-04 22:10:35,68,Medium
MUM-2316,Ghatkopar,Drainage,100,447875,Sunny,2026-03-04 22:11:33,75,High
MUM-1819,Worli,Water,60,234422,Sunny,2026-03-04 22:11:42,33,Low
MUM-3757,Dharavi,Roads,42,704310,Rainy,2026-03-04 22:12:02,58,High
MUM-9113,Dadar,Drainage,47,487531,Cloudy,2026-03-04 22:13:07,56,Medium
MUM-9117,Bhayander,Drainage,59,513025,Sunny,2026-03-04 22:20:19,165,High
MUM-5439,Bhayander,Water,44,525612,Sunny,2026-03-04 22:25:27,44,High
MUM-6731,Lower Parel,Garbage,20,214631,Cloudy,2026-03-04 22:31:43,31,Low
MUM-5263,Lower Parel,Drainage,16,212397,Sunny,2026-03-04 22:32:41,21,Low
MUM-9705,Thane,Water,24,705616,Cloudy,2026-03-04 22:36:37,54,Medium
MUM-2197,Matunga,Drainage,30,262265,Rainy,2026-03-04 22:37:51,26,Medium
MUM-7635,Parel,Water,24,284839,Sunny,2026-03-04 22:38:07,23,Low
MUM-8753,CST,Roads,5,132343,Cloudy,2026-03-04 22:39:10,3,Low
MUM-4207,Wadala,Water,3,285943,Sunny,2026-03-04 22:39:29,4,Low
MUM-4425,Santacruz,Water,18,289058,Sunny,2026-03-04 22:40:26,10,Medium
MUM-4039,Bandra,Water,45,320128,Sunny,2026-03-04 22:50:09,36,Medium
MUM-7945,Vile Parle,Garbage,51,328004,Rainy,2026-03-04 22:51:07,54,Medium
MUM-2460,Matunga,Garbage,19,262088,Sunny,2026-03-04 22:53:30,29,Low
MUM-7279,Fort,Water,9,153192,Cloudy,2026-03-04 22:53:59,12,Medium
MUM-5092,Mulund,Roads,25,378907,Sunny,2026-03-04 22:55:02,37,Medium
MUM-10602,Andheri,Drainage,38,826755,Sunny,2026-03-04 22:55:49,32,Low
MUM-5346,Matunga,Water,22,258303,Cloudy,2026-03-04 23:02:24,15,Medium
MUM-3970,Fort,Drainage,5,148841,Rainy,2026-03-04 23:03:09,6,Low
MUM-7892,Thane,Drainage,69,706515,Sunny,2026-03-04 23:04:17,121,Low
MUM-8756,Chembur,Water,40,390584,Cloudy,2026-03-04 23:07:38,46,Medium
MUM-5642,Mulund,Garbage,28,364562,Rainy,2026-03-04 23:12:04,36,Low
MUM-6027,Andheri,Garbage,100,865535,Rainy,2026-03-04 23:18:27,100,High
MUM-5299,Mulund,Roads,46,372685,Rainy,2026-03-04 23:21:48,32,High
MUM-8014,Kurla,Drainage,20,421502,Sunny,2026-03-04 23:23:32,26,Low
MUM-5614,Colaba,Garbage,19,181812,Rainy,2026-03-04 23:23:56,14,Medium
MUM-1115,Borivali,Water,57,615151,Sunny,2026-03-04 23:28:14,34,High
